STATE,CA,COND,K,MG,Sodium,ANC,CL,CO3,COLOR,DOC,HCO3,NH4,NO3,NTL,PTL,SIO2,SO4,TSS,TURB,AG_TOT,ASPCTDEG,ELEVMEAN,FOR_TOT,KM_SEA,POPDENKM,PRECIP_M,RD_DEN,RNG_TOT,SLOPMEAN,WSAREA,W1_HALL,LAT_DD,LON_DD
OR,343,121.3,48.1,421.6,474.1,1156.6,61.5,35.736,5,0.61,1025.865,0.7,6.4,213,63,29.47,40,3.7,0.543,4.5,25,1279.7,45.95,209,4.244,0.519,12.79,46.39,6.47,24853.9498,4.310659091,45.05361,121.11735
OR,367.9,79.7,28.1,255.3,154.2,743.6,11,28.309,10,1.73,645.513,0.6,0,108,9,20.84,44.8,1.6,0.831,0.54,295,1426.7,68.8,339,0.173,0.603,15.04,29.22,11.59,5181.6923,1.340959091,44.9201,119.3332
OR,4608,594.3,39.2,1139.1,667.3,4937.5,8.2,68.041,10,1.64,4080.834,0.7,0,134,11,22.39,2047.9,0.1,0.94,0,106,1507.3,33.44,355,0.048,0.497,12.26,66.03,11.65,41.283,2.159122727,44.09685,119.51709
OR,273.5,63.18,46.4,188.4,129.8,637.2,11.6,3.012,15,3.83,545.51,1.6,1.4,459,73,27.17,16.4,7.2,3.04,2.85,14,1915.3,78.8,411,0.3,0.892,2.6,12.89,19.66,49.9762,2.396857143,44.39835,118.67973
OR,853.7,144.1,17.7,472.9,145.1,1581.3,3.9,12.102,5,1.86,1415.312,0.4,0,68,9,23.26,28.5,0.6,0.171,0,126,1842.5,94.3,407,0,0.856,33.21,5.42,12.85,0.8972,1.954554545,44.67177,118.54373
OR,160.7,46.08,19.5,125.8,140.1,347.3,62.3,1.14,15,1.97,298.515,0.5,35.7,645,18,11.89,15.2,1,3.14,66.23,312,302.4,29.23,92,7.506,1.547,11.43,2.99,7.2,60.7544,2.530386364,44.96688,122.79566
OR,208.6,57.76,32.1,171.3,200.6,590.9,21.4,11.67,5,0.91,518.851,0.8,2.9,184,53,17.03,6.9,2.7,1.08,0.01,65,1544.7,82.25,198,0.592,1.162,15.22,6.12,5.67,1465.129,4.939472727,43.84517,121.46504
OR,150.8,43.66,18.6,83.1,152.8,300.7,107.7,0.999339599,5,1.05,286.8760756,1.1,3.6,120,11,13.94,18.1,1.6,2.49,2.36,293,286.2,92.17,31,1.402,1.326,19.44,3.95,16.68,635.5669,0.424263636,43.98701,123.63981
OR,1265.7,213.6,39.4,545.5,364.5,2212.8,19.2,64.057,15,2.47,2210.799,0.6,0,156,14,22.58,24.6,3.2,0.6,0,18,1399.3,80.14,334,0.355,0.812,21.34,18.55,12.05,30.9653,3.704604545,45.2455,119.20877
OR,938.8,203.2,68,757.1,410.4,1818.5,21.2,14.291,10,1.81,1832.534,1,4.3,219,75,39.42,251.7,7.3,1.42,0.56,295,1253.6,19.06,466,0.379,0.803,7.49,80.4,8.83,23.7355,1.545463636,44.89855,117.42313
OR,297.6,85.85,27.2,183,324.6,578.8,196.6,0.382,15,2.93,489.439,3.2,13.6,346,32,17.71,26,0.8,3.3,0,300,118.1,90.93,5,1.618,2.008,14.79,4.18,24.3,6.1822,0.931840909,43.64969,124.09439
OR,857.3,158.7,22,651.7,254.2,1621.3,12.1,12.328,0,1.59,1617.661,0.6,0,133,12,36.32,6,0.1,0.208,0.02,163,1119.7,31.79,339,0,0.456,10.08,68.22,11.18,29.6871,1.378804545,44.9714,119.29882
OR,1703.9,362.6,34.1,1049,1143.8,3848.7,84.9,173.154,10,1.42,3284.084,0.5,0,134,19,24.67,464.9,6.4,1.58,1.63,35,1221.9,46.63,295,0.647,0.469,10.2,51.53,13.3,363.1677,1.704572727,44.62217,120.20966
OR,686.3,107.9,33.1,169.4,184.3,1088,7.3,5.822,10,1.81,1006.972,0.4,0,76,22,22.24,75.6,0.2,0.521,0,259,1652.2,94.42,380,0,0.788,0,5.58,19.79,7.2031,0,45.05124,118.66491
OR,809.4,152.9,47.2,558.9,292,1775.9,27.1,21.04,20,4.19,1588.641,0.6,0,190,39,46.07,6,0.2,3.12,0,19,1405.7,73.56,301,0,0.493,16.43,26.45,4.32,12.5901,1.66675,44.99865,119.80257
OR,229.4,55.06,28.1,128.4,154.1,537.6,10.2,0.968077475,10,1.15,494.1870375,0.4,0.7,23,66,31.62,2.7,0,0.205,0,221,1764.2,98.06,151,0.024,1.736,1.23,0.7,9.78,41.36,0.33335,43.64373,122.03084
OR,365,76.52,12.8,128.1,214.2,453.4,107.7,2.116488173,10,0.99,430.1273718,0.9,0,89,17,15.45,155.9,1,0.14,0,231,1260.5,97.61,120,0,1.415,2.93,1.02,22.8,60.9614,0.075,43.33054,122.50774
OR,190,54.84,49.3,92.5,234.4,519.4,12.1,2.504511005,5,1.25,508.9840566,0.9,2.1,153,42,35.6,19.4,4.9,1.83,0.06,169,2054.5,1.77,368,0.03,0.517,5.84,91.62,8.53,33.2479,0.33335,42.3827,119.72094
OR,895.5,212.1,38.8,558.6,720.6,2353.4,42,44.642,10,2.3,1852.367,0.7,2.1,250,18,29.11,30.8,3.4,1.07,16.89,270,1461.5,46.14,356,0.177,0.442,10.22,36.87,6.88,322.0301,0,44.61828,119.29951
OR,114.1,24.23,9.6,62.1,56.8,229.7,1.1,0.379010471,10,0.72,222.1429029,0.2,0,62,9,11.92,6.2,3,0.441,0,201,2502.9,7.84,447,0.076,1.218,0.41,61.68,26.76,13.1005,0.6667,42.59043,118.59834
OR,125.1,26.34,10.9,64.7,60.4,250.5,0.8,0.437385169,10,0.82,244.8190943,0.2,0,51,8,13.52,6,3.1,0.327,0,170,2541.3,6.68,447,0,1.167,0,59.64,26.95,5.1748,0.6667,42.60206,118.59338
OR,323.1,89.31,34.2,355.5,199.5,939.9,13,3.664590143,10,1.21,874.9971602,0.5,0,104,56,35.25,7.7,2.4,1.16,0.66,21,1558.7,88.61,220,0.026,0.608,19.75,5.88,4.55,349.8366,0.272736364,42.83172,121.45684
OR,207,55.02,44,134.5,159.4,485.7,7.1,1.531774632,10,0.51,439.7198864,0.3,0.7,26,61,41.23,72.7,4.8,1.42,0,150,1843.7,88.35,181,0.152,1.475,8.1,8.4,10.29,72.4084,0.712154545,42.76615,122.05922
OR,232.8,99.01,67.6,127.1,570.6,771.3,106.6,5.17195135,15,2.26,761.4399614,0.4,0,218,58,39.83,86,6.7,3.79,0.08,5,2001.6,1.07,366,0.032,0.498,5.18,98.67,10.69,31.5374,0.272740909,42.53102,119.68224
OR,371.8,80.49,28.2,234.7,231.7,826.8,12.1,2.037010749,20,2.62,453.9150215,0.8,1.4,334,52,36.57,19.4,22.9,12.8,0.08,251,2109.8,10.77,360,0,0.531,0,89.02,17.87,15.2441,0.424245455,42.47762,119.78429
OR,315.8,88.01,69,192.2,293.4,761.8,56.7,2.97743772,10,1.49,744.4300922,0.6,18.6,399,69,39.8,58.5,8.2,4.77,0.02,22,2014.4,6,486,0.045,0.515,3.27,93.83,12.48,44.4041,1.151563636,42.19177,118.21222
OR,154.8,48.02,17.3,90,191.1,313.1,104.1,3.831920135,15,1.88,310.0256904,1.1,2.9,153,8,9.89,31.9,1.6,0.521,0,273,288.5,97.61,17,0.141,1.381,16.35,1.77,22.15,517.595,1.431868182,43.80605,123.7997
OR,160.4,54.6,18.4,93.7,191.3,325,103.8,5.936799455,20,1.92,317.3464271,1.2,2.1,133,10,10.23,30.6,0,0.597,0,273,293.1,98.06,19,0.123,1.348,16.38,1.42,22.32,457.0822,1.189436364,43.80315,123.7635
OR,257.8,46.31,36.1,84.5,92.6,392.6,9,1.764,10,1.52,342.306,0.5,7.1,155,7,15.01,64.5,1.8,0.291,0,4,2055.1,84,411,0.039,0.89,9.49,14.23,18.88,25.3933,0,44.90831,118.31331
OR,162.6,49.6,18.4,92.7,197.2,326.3,106.6,2.351127297,10,2.09,338.2652447,1.4,2.1,159,8,9.11,31.6,1.2,0.547,0,271,287.3,97.6,15,0.143,1.387,16.28,1.78,22.15,523.7795,1.803090909,43.7875,123.81667
OR,143.5,48.84,16.2,93,191.3,292.3,92.5,1.486324088,10,1.69,281.8997889,1.1,6.4,238,5,10,37.3,0,0.785,0,271,283.5,97.59,13,0.158,1.404,16.12,1.78,22.17,544.6014,1.8334,43.78817,123.85257
OR,172.1,49.97,16.1,94.5,198.6,333.6,97,0.535347334,15,1.67,328.5616557,1.4,4.3,211,6,8.38,35.6,1.9,0.654,0,271,279.7,97.48,12,0.162,1.437,16.18,1.93,22.24,573.1072,1.280359091,43.78583,123.88657
OR,159.4,49.06,15.9,91.2,182.1,303.5,94.8,0.617232702,10,2.02,280.8213754,1.1,17.1,355,8,11.19,38.5,0.3,0.806,0,270,279.2,97.47,11,0.165,1.438,16.16,1.94,22.23,574.7119,1.416725,43.78136,123.8994
OR,132.6,45.72,12.9,82.3,186.8,276.8,97,0.266942031,10,1.62,253.7454096,1.5,12.1,324,6,9.14,38.9,2.2,0.583,0.09,270,277.3,96.96,9,0.228,1.66,14.46,2.1,22.33,851.6477,2.174322727,43.77611,123.96639
ID,95.2,22.67,14.4,38.7,60.1,178.4,3.1,0.478258799,0,2.48,180.9856758,0.5,3.6,104,3,11.09,22.3,0,0.162,0,99,1446.6,90,503,0.03,1.317,2.52,9.81,21.08,66.5886,0,46.97061,115.67634
OR,400.5,118.1,77.6,437.9,243.6,1291.2,22.3,44.831,5,1.48,1070.43,1.1,0,174,26,35.56,15.4,2.7,1.84,0.64,309,1562.8,90.18,407,0.032,0.67,23.6,7.39,11.04,411.6721,2.174254545,44.62214,118.57732
