AG_TOT,ANC,ASPCTDEG,CL,COND,DOC,ELEVMEAN,FOR_TOT,KM_SEA,LAT_DD,LON_DD,Sodium,NH4,NO3,NTL,PHSTVL,POPDENKM,PRECIP_M,PTL,RD_DEN,RNG_TOT,SIO2,SLOPMEAN,SO4,STATE,TSS,TURB,URB_TOT,W1_HALL,WSAREA
0.3,1603.1,213,953.4,423.4,1.73,1445.8,40.47,56,32.89957,116.58789,1202.3,0.4,2.9,141,7.83,1.281,0.72,12,15.92,58.88,33.19,13.56,1660.4,CA,4.3,0.508,0.03,0,59.3376
0.03,2387.5,269,304.3,268.3,4.61,2210.2,43.24,104,34.23169,116.99915,587,0.6,0,348,8.29,73.754,0.653,11,34.55,47.35,11.33,10.15,88.3,CA,2.3,0.413,2.76,0.143940909,193.6686
0,648.4,257,854.1,174.8,0.91,1903,92.7,123,38.16542,120.03472,411.2,0.5,0,171,7.54,1.533,0.956,23,28.75,5.17,26.71,12.61,6.2,CA,5.5,0.228,0.36,0.242436364,21.5349
0,1135,331,9,110.3,0.6,1593.2,92.05,197,40.81571,121.72191,194.4,0.4,3.6,48,7.84,0.007,1.378,12,11.08,7.89,33.48,8.45,7.1,CA,0,0.158,0,0.666672727,152.8016
1.6,1062.8,212,159.9,137.2,1.49,502,54.09,173,39.71635,121.63527,266.6,0.4,83.5,1433,7.8,456.132,1.301,36,59.53,9.48,36.74,5.85,41.2,CA,20.8,1.32,34.77,0,8.481
0.01,4129.9,199,600.5,562.8,0.77,224.3,43.82,3,37.72768,122.16887,1461.4,0.6,509.7,7400,7.83,219.895,0.624,41,22.46,38.82,30.07,15.22,777.4,CA,0.5,0.225,14.05,4.977313636,112.4863
0,192.6,75,31.3,23.68,0.63,1268.5,91.75,30,40.7548,123.73981,61.6,0.4,0,15,6.54,0,2.231,4,11.48,8.4,4.68,11.66,10.2,CA,4.5,0.343,0,0.257577273,1.1674
0,1687.2,74,5.9,153.2,0.5,2173.1,52.09,137,41.33699,122.40794,11,0.3,2.1,44,8.3,0.986,1.105,0,0,27.04,17.09,18.12,10,CA,0.1,0.177,0,0,5.0678
0,561.4,298,7.3,56.29,0.67,1920.9,89.5,167,41.49024,122.02899,125.1,0.2,0,64,7.72,0,1.19,25,6.87,5.69,31.4,13.23,16.2,CA,1.7,0.566,0.02,1.5,13.1348
6.2,5976.4,355,5609.6,2250,3.88,221.6,17.7,8,34.67473,120.51417,6412.5,82,708.9,12150,8.09,3.405,0.447,265,12.41,74.53,27.39,14.91,12508.4,CA,157.1,13.1,0.84,1.27275,21.4386
0,213.7,1,5.9,23.37,1.03,3253.2,29.17,238,37.54998,118.75965,57.1,0.3,0,105,7.54,0.844,0.758,3,1.14,48.56,6.14,22.17,10.2,CA,3.2,1.01,0,0,30.8227
0,2019,176,32.4,192.1,1.2,1849.9,77.45,266,40.43368,120.72438,454.5,0.4,0,63,7.76,0.889,0.693,31,16.26,22.5,39.03,9.79,6,CA,8.7,2.82,0.04,0.393940909,42.7607
0,630.1,283,33.6,65.49,0.62,1268.6,97.54,100,38.57735,120.54398,153.2,0.4,2.9,81,7.48,0.853,1.246,9,26.07,2.37,18,13.53,42.9,CA,2.1,0.234,0,0.469713636,28.1202
